audit_id,priority_score,priority_flags,query_id,standardized_query,normalized_query,representative_description,expected_hts_number,acceptable_hts_numbers,expected_chapter,ambiguity,contributing_standardized_rows,max_noise_score,live_status,live_latency_ms,live_top1_hts_number,live_top1_description,live_top10_hts_numbers,live_exact_top1,live_exact_top10,expected_hts_description,expected_hts_path,audit_status,audited_hts_number,audited_description,reviewer_notes
audit-cc-00357,180,multi_label|high_noise|multi_source|long_query|high_value_chapter_71|top1_mismatch|top10_miss|slow_search,cc-00357,"crescent moon ring holder necklace, ring keeper jewelry for engagement ring, promise ring holder, christmas gift for doctor nurse",crescent moon ring holder necklace ring keeper jewelry engagement ring promise ring,"Crescent Moon Ring Holder Necklace, Ring Keeper Jewelry for Engagement Ring, Promise Ring Holder, Christmas Gift for Doctor Nurse",7113.19.21.00,7113.19.21.00|7113.20.29.00,71,multi_label,2,2,201,1731,7117.90.10.00,"Necklaces, valued not over 30 cents per dozen, composed wholly of plastic shapes mounted on fiber string",7117.90.10.00|7113.19.50.25|7113.19.50.21|9615.11.40.00|9615.90.40.00|7117.19.05.00|7113.20.10.00|7113.11.10.00|7113.19.50.91|7113.19.10.00,,,Rope,"Articles of jewelry and parts thereof, of precious metal or of metal clad with precious metal: > Of other precious metal, whether or not plated or clad with precious metal: > Rope",PENDING,,,
audit-cc-00878,180,multi_label|high_noise|multi_source|long_query|high_value_chapter_42|top1_mismatch|top10_miss|slow_search,cc-00878,kobe bryant jacquard tapestry tote bag reversible woven shoulder bag,kobe bryant jacquard tapestry tote bag reversible woven shoulder bag,Kobe Bryant Jacquard Tapestry Tote Bag | Reversible Woven Shoulder Bag,4202.22.89.30,4202.22.89.30|4202.92.15.00,42,multi_label,2,2,201,1720,5805.00.10.00,Hand-woven tapestries fit only for use as wall hangings and valued over $215 per square meter,5805.00.10.00|5805.00.30.00|4202.22.35.00|4202.92.60.10|4202.92.91.00|5805.00.40.90|5516.93.00.20|5516.43.00.20|4602.19.29.20|3926.90.33.00,,,Of cotton (369),"Trunks, suitcases, vanity cases, attache cases, briefcases, school satchels, spectacle cases, binocular cases, camera cases, musical instrument cases, gun cases, holsters and similar containers; traveling bags, insulated food or beverage bags, toiletry bags, knapsacks and backpacks, handbags, shopping bags, wallets, purses, map cases, cigarette cases, tobacco pouches, tool bags, sports bags, bottle cases, jewelry boxes, powder cases, cutlery cases and similar containers, of leather or of composition leather, of sheeting of plastics, of textile materials, of vulcanized fiber or of paperboard, or wholly or mainly covered with such materials or with paper: > With outer surface of sheeting of plastics or of textile materials: > Other > Of cotton (369)",PENDING,,,
audit-cc-01046,170,multi_label|high_noise|multi_source|long_query|top1_mismatch|top10_miss|slow_search,cc-01046,merino fine yarn on cone merino not painted weaving machine knitting hand knitting bella yarn,merino fine yarn cone merino not painted weaving machine knitting hand knitting,Merino fine yarn on cone 100% merino NOT painted Weaving Machine knitting Hand Knitting Bella yarn 1500m/100g (1640y/3.52oz),5109.10.40.00,5109.10.40.00|5109.10.90.00,51,multi_label,2,2,201,1540,5106.10.00.10,Of which the average fiber diameter is not less than 34.40 microns (400),5106.10.00.10|5106.20.00.00|5107.20.30.00|5408.33.05.10|8447.20.20.00|8447.20.40.00|8422.40.11.10|5107.10.30.00|5109.10.80.00|5109.10.20.00,,,Of Angora rabbit hair (400),"Yarn of wool or of fine animal hair, put up for retail sale: > Containing 85 percent or more by weight of wool or of fine animal hair: > Of Angora rabbit hair (400)",PENDING,,,
audit-cc-01213,170,multi_label|high_noise|multi_source|long_query|top1_mismatch|top10_miss|slow_search,cc-01213,personalized custom notepad stationery gift idea customized a note from personal notepad,notepad stationery idea note personal notepad,"Personalized Custom Notepad Stationery Gift Idea Customized ""A Note From"" Personal Notepad",4817.20.20.00,4817.20.20.00|4817.20.40.00,48,multi_label,2,2,201,1543,4820.10.20.20,"Memorandum pads, letter pads and similar articles",4820.10.20.20|4820.10.20.30|4820.10.20.10|8472.90.90.40|1701.13.05.00|1701.13.10.00|3204.11.35.00|3204.12.45.00|3204.13.60.00|3307.20.00.00,,,"Sheets of writing paper, with border gummed or perforated, with or without inserts, prepared for use as combination sheets and envelopes","Envelopes, letter cards, plain postcards and correspondence cards, of paper or paperboard; boxes, pouches, wallets and writing compendiums, of paper or paperboard, containing an assortment of paper stationery: > Letter cards, plain postcards and correspondence cards: > Sheets of writing paper, with border gummed or perforated, with or without inserts, prepared for use as combination sheets and envelopes",PENDING,,,
audit-cc-01898,170,multi_label|high_noise|multi_source|long_query|top1_mismatch|top10_miss|slow_search,cc-01898,"wood wedding place card, custom laser cut name card, rustic table setting, eucalyptus accent",wood place card laser cut name card rustic table setting eucalyptus accent,"Wood Wedding Place Card, Custom Laser Cut Name Card, Rustic Table Setting, Eucalyptus Accent",4412.91.51.15,4412.91.51.15|4421.99.85.00,44,multi_label,2,2,201,1539,4412.33.26.25,Wood flooring,4412.33.26.25|4412.33.32.25|4420.11.00.30|3926.90.94.00|4420.11.00.10|4420.90.20.00|4420.90.45.00|4420.90.65.00|4403.98.00.28|4403.98.00.23,,,Other,"Plywood, veneered panels and similar laminated wood: > With at least one outer ply of tropical wood: > Other > Other",PENDING,,,
audit-cc-00965,170,multi_label|high_noise|multi_source|long_query|top1_mismatch|top10_miss|slow_search,cc-00965,"magdalena olympia yarn lana grossa yarn, super soft yarn, virgin wool acrylic , bulky yarn col",magdalena olympia yarn lana grossa yarn super soft yarn virgin wool acrylic,"Magdalena Olympia Yarn Lana Grossa Yarn, Super Soft Yarn, Virgin Wool/Acrylic , Bulky Yarn 100g- Col 053",5206.12.00.00,5206.12.00.00|5509.61.00.00,52,multi_label,2,2,201,1515,5208.11.60.00,"Suitable for making typewriter ribbon, containing yarns the average number of which exceeds 85 but not 237, the total thread count (treating multiple (folded) or cabled yarns as single threads) per square centimeter is not less than 94 and not more than 134, and in which the thread count of either the warp or filling does not exceed 60 percent of the total thread count of the warp and filling (220)",5208.11.60.00|5109.10.80.00|5109.90.80.00|5109.10.20.00|5511.10.00.30|7019.13.05.00|7019.13.24.00|6203.11.15.00|6203.11.60.00|5406.00.10.20,,,Exceeding 14 nm but not exceeding 43 nm (300),"Cotton yarn (other than sewing thread), containing less than 85 percent by weight of cotton, not put up for retail sale: > Exceeding 14 nm but not exceeding 43 nm (300)",PENDING,,,
audit-cc-00680,170,multi_label|high_noise|multi_source|long_query|top1_mismatch|top10_miss|slow_search,cc-00680,"hand held manual face massage apparatus, non electric, non medical consumer device",hand held manual face massage apparatus non electric non medical consumer device,"Hand-held manual face massage apparatus, non-electric, non-medical consumer device",8205.51.30.60,8205.51.30.60|9019.10.20.90,82,multi_label,2,2,201,1570,9019.20.00.00,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic respiration apparatus; parts and accessories thereof",9019.20.00.00|9018.49.80.40|9018.19.95.30|8210.00.00.00|9018.90.75.20|9019.10.20.20|9019.10.40.00|9018.19.95.50|9018.90.50.80|9019.10.20.35,,,Other (including parts),"Handtools (including glass cutters) not elsewhere specified or included; blow torches and similar self-contained torches; vises, clamps and the like, other than accessories for and parts of machine tools or water-jet cutting machines; anvils; portable forges; hand- or pedal-operated grinding wheels with frameworks; base metal parts thereof: > Household tools, and parts thereof: > Other (including parts) > Other (including parts)",PENDING,,,
audit-cc-01846,165,multi_label|many_contributors|short_query|high_value_chapter_61|top1_mismatch|top10_miss,cc-01846,women's dress,women's dress,Women's dress,6104.42.00.10,6104.42.00.10|6108.91.00.30|6204.42.10.00|6204.42.20.00,61,multi_label,4,0,201,248,6204.31.10.10,Women's (435),6204.31.10.10|6204.31.20.10|6204.41.20.10|6104.62.20.30|6104.43.10.10|6104.53.20.10|6204.32.20.30|6204.32.20.10|6204.13.20.10|6204.39.20.10,,,Women's (336),"Women's or girls' suits, ensembles, suit-type jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted: > Of cotton > Women's (336)",PENDING,,,
audit-cc-01627,165,multi_label|many_contributors|short_query|high_value_chapter_42|top1_mismatch|top10_miss,cc-01627,tote bag,tote bag,Tote Bag,4202.19.00.00,4202.19.00.00|4202.22.89.80|4202.92.15.00|4202.92.39.00|4202.92.60.91|6305.20.00.00,42,multi_label,6,0,201,158,4202.92.60.10,"Jewelry boxes, and similar containers of a kind normally sold at retail with their contents",4202.92.60.10|4202.92.91.00|4202.22.40.20|4202.22.35.00|4202.22.15.00|4202.22.40.10|4202.22.89.30|4202.22.89.70|4202.22.70.00|4202.22.40.30,,,Other,"Trunks, suitcases, vanity cases, attache cases, briefcases, school satchels, spectacle cases, binocular cases, camera cases, musical instrument cases, gun cases, holsters and similar containers; traveling bags, insulated food or beverage bags, toiletry bags, knapsacks and backpacks, handbags, shopping bags, wallets, purses, map cases, cigarette cases, tobacco pouches, tool bags, sports bags, bottle cases, jewelry boxes, powder cases, cutlery cases and similar containers, of leather or of composition leather, of sheeting of plastics, of textile materials, of vulcanized fiber or of paperboard, or wholly or mainly covered with such materials or with paper: > Other",PENDING,,,
audit-cc-00130,160,multi_label|multi_source|long_query|high_value_chapter_95|top1_mismatch|top10_miss|slow_search,cc-00130,bob the builder bob's castle adventure pc cd rom game new sealed,bob builder bob castle adventure pc cd rom game new sealed,Bob The Builder: Bob's Castle Adventure - PC CD-ROM Game 2003 New Sealed,9504.50.00.00,9504.50.00.00|9504.90.90.80,95,multi_label,2,0,201,2140,9504.30.00.10,Video,9504.30.00.10|9504.90.60.00|9504.90.40.00|4202.92.94.00|2710.91.00.10|8422.30.11.00|8422.30.91.85|4016.93.10.20|4016.93.50.20|4903.00.00.00,,,"Video game consoles and machines, other than those of subheading 9504.30, and parts and accessories thereof","Video game consoles and machines, table or parlor games, including pinball machines, billiards, special tables for casino games and automatic bowling equipment, amusement machines operated by coins, banknotes, bank cards, tokens or by any other means of payment: > Video game consoles and machines, other than those of subheading 9504.30, and parts and accessories thereof",PENDING,,,
